payload_bytes,mode,mean_key_ms,mean_encryption_ms,mean_decryption_ms,mean_total_ms,sd_total_ms,median_total_ms,q1_total_ms,q3_total_ms,iqr_total_ms,ci95_low_total_ms,ci95_high_total_ms,cv_total_percent,min_total_ms,max_total_ms,mean_throughput_MBps,sd_throughput_MBps,overhead_bytes
1024,M1,0.14293446666666668,0.0020072333333333334,0.0014088666666666667,0.14635056666666665,0.008615708451200743,0.14414900000000003,0.141135,0.14661349999999998,0.0054784999999999695,0.1432674749931611,0.14943365834017222,5.887034568731252,0.139397,0.17474299999999998,587.3902170871138,203.20354896023548,92
1024,M2,0.09699666666666666,0.0022790333333333333,0.0016406666666666666,0.10091636666666666,0.015302196999086458,0.095307,0.09252725,0.103322,0.010794749999999992,0.09544054579581882,0.1063921875375145,15.16324606654797,0.08677,0.160141,482.7424098635795,133.81731084020691,2300
1024,M3,0.0919652,0.0302066,0.0277733,0.1499451,0.009260468947498622,0.147773,0.145067,0.152239,0.007172000000000012,0.14663128374606085,0.15325891625393914,6.175906346721981,0.137844,0.179462,34.0179722989162,2.016062348378516,2304
1024,M4,0.2361155,0.002452,0.0022392,0.24080669999999998,0.014005051886914671,0.235664,0.229964,0.249832,0.019867999999999997,0.23579505654617092,0.24581834345382905,5.815889627205004,0.223639,0.273849,446.3404370916491,114.79689904422528,2364
1024,M5,0.2373774,0.032306966666666666,0.027786266666666667,0.29747063333333335,0.016212506639954695,0.292482,0.28398175000000003,0.307911,0.023929249999999957,0.29166906234106843,0.30327220432559826,5.450120053291992,0.279288,0.338059,32.10895622629755,3.017095288566724,2368
10240,M1,0.1455191,0.005553,0.0040631,0.1551352,0.005930563533146707,0.154601,0.15059725000000002,0.15753925000000002,0.006942000000000004,0.15301297509512962,0.15725742490487038,3.822835522271353,0.145973,0.16993399999999997,2051.2176499165107,520.7517374078093,92
10240,M2,0.10170030000000001,0.005304,0.0042262,0.1112305,0.013007872703044905,0.109612,0.10327,0.1144075,0.011137499999999995,0.10657569253431924,0.11588530746568075,11.694519671353545,0.09571500000000001,0.155173,1980.1089722741651,319.47703683221823,2300
10240,M3,0.09868856666666667,0.23614806666666666,0.23176213333333334,0.5665987666666666,0.009235005575426626,0.567564,0.55982725,0.57297575,0.013148500000000007,0.5632940623633999,0.5699034709699334,1.6299021668819893,0.549899,0.580908,43.39869320617366,1.2421006254725087,2304
10240,M4,0.24262603333333332,0.0054842,0.004657166666666667,0.2527674,0.012216054751700801,0.252172,0.24442225,0.259509,0.015086749999999982,0.24839594094919984,0.25713885905080014,4.832923372120298,0.232735,0.28002499999999997,1897.4876621230796,248.0096537162733,2364
10240,M5,0.2379793,0.23922633333333332,0.23397383333333333,0.7111794666666666,0.010743922438333196,0.7084159999999999,0.705488,0.718669,0.013180999999999998,0.7073348033986334,0.7150241299346999,1.5107188750387426,0.690504,0.734625,42.84245708124948,1.2802265947164728,2368
102400,M1,0.1665768,0.032455533333333335,0.0299344,0.22896673333333334,0.021851070249072128,0.2365035,0.20593299999999998,0.2419065,0.03597350000000002,0.22114742826704942,0.23678603839961726,9.54333842779728,0.194534,0.271546,3189.879078577789,340.0568217741305,92
102400,M2,0.1273988,0.0322982,0.030541033333333332,0.19023803333333333,0.018139326108996046,0.193083,0.182114,0.20468025,0.02256625000000001,0.18374695884927816,0.1967291078173885,9.53506814129669,0.157734,0.226304,3194.4832137827384,278.0768303790203,2300
102400,M3,0.12182046666666667,2.2882545,2.2714002,4.681475166666667,0.030166178030557118,4.6806195,4.664385,4.692103749999999,0.027718749999999126,4.670680338495046,4.692269994838288,0.6443733429442974,4.6428139999999996,4.815699,44.751580067101635,0.2445470199863013,2304
102400,M4,0.27495016666666666,0.03258746666666667,0.031170366666666668,0.338708,0.025583232051617263,0.334747,0.31819699999999995,0.360314,0.04211700000000007,0.3295531579848075,0.3478628420151925,7.553182107188866,0.30209800000000003,0.39455700000000005,3173.0813602279804,295.17991150448694,2364
102400,M5,0.2609999666666667,2.2862868,2.274139933333333,4.8214267,0.024168813971086084,4.817416,4.801299,4.833145999999999,0.03184699999999907,4.812778000994594,4.8300753990054055,0.5012792991561208,4.789555,4.882886,44.78903844373404,0.10906416396376012,2368
1048576,M1,0.20820956666666668,0.3012745333333333,0.29433403333333336,0.8038181333333333,0.044236565302639766,0.7868789999999999,0.7712450000000001,0.8371235,0.06587849999999995,0.7879882817405666,0.8196479849261,5.503305221443097,0.730513,0.8986860000000001,3486.2493100824977,142.22490758589032,92
1048576,M2,0.20219273333333332,0.3069688,0.2915990333333333,0.8007605666666666,0.05218901694516097,0.8276714999999999,0.75011925,0.8378227500000002,0.08770350000000016,0.7820849668012091,0.8194361665321241,6.5174309422364125,0.713777,0.8669580000000001,3422.2819377084625,149.23639537013943,2300
1048576,M3,0.17960946666666666,23.34748533333333,23.3416115,46.8687063,0.17730634831043945,46.858885,46.7355345,46.98720324999999,0.2516687499999932,46.80525803811511,46.932154561884886,0.37830433632096955,46.530878,47.221581,44.9125053601577,0.18923123965038055,2304
1048576,M4,0.39098483333333334,0.30507643333333334,0.2955615,0.9916227666666666,0.0635782277788191,1.0172025,0.9406242499999999,1.042353,0.10172875000000015,0.9688715900465016,1.0143739432868317,6.411533691641318,0.8555489999999999,1.0805,3443.2244253983717,145.04800578253452,2364
1048576,M5,0.35935913333333336,23.351658333333333,23.348461066666665,47.05947853333333,0.13800360051618227,47.011093,46.953354,47.157079499999995,0.20372549999999734,47.0100945791205,47.10886248754617,0.2932535693493311,46.857265,47.334418,44.9040019679378,0.11713329595567534,2368
5242880,M1,0.23339436666666666,2.0777904333333335,2.0783042,4.389489,1.2964994047909852,4.3133859999999995,3.14401475,5.53592375,2.391909,3.925542646399918,4.853435353600083,29.53645412463695,3.063193,6.490269,2763.030340989401,824.9156059313034,92
5242880,M2,0.24938153333333332,2.1879181333333335,2.164224433333333,4.6015241,1.185771967522783,5.503379499999999,3.153584,5.5600380000000005,2.4064540000000005,4.177201050949252,5.0258471490507475,25.769113488350154,3.059896,5.628144000000001,2592.1787843487878,768.0506125356671,2300
5242880,M3,0.231528,131.26037676666667,131.65488676666666,263.1467915333333,1.9750182131476746,262.4285475,261.94053999999994,263.85817225,1.9176322500000538,262.4400403424746,263.85354272419204,0.7505385878503082,261.36514,270.237095,39.947654313761575,0.45332846618018835,2304
5242880,M4,0.42114216666666665,1.8671934333333333,1.8428138666666667,4.131149466666667,1.1382881651825265,3.359174,3.3249645,5.68293175,2.3579672499999997,3.7238182780590643,4.538480655274269,27.553787980007076,3.2784389999999997,5.810230000000001,3021.8308194917795,745.3807854151232,2364
5242880,M5,0.4136147333333333,131.75446353333334,132.0223281,264.19040636666665,3.896554413964997,262.9049215,262.22770475,264.5040935,2.2763887500000237,262.796042277271,265.5847704560623,1.4749038269607022,261.210807,280.298102,39.80429806713622,0.675022297618397,2368
10485760,M1,0.23857653333333334,5.0304614,5.0912149,10.360252833333334,0.32447408157945895,10.4243815,10.167099499999999,10.62414575,0.4570462500000012,10.244141274446198,10.47636439222047,3.131912770849453,9.663906999999998,10.779656,2087.163666859165,77.16210193553692,92
10485760,M2,0.2487296,5.0490404,5.1119423,10.409712299999999,0.39009937722578,10.4183555,10.19005075,10.61373675,0.423686,10.270117030664151,10.549307569335847,3.7474558948740593,9.518368,11.120019,2080.0727234114597,83.68472074990564,2300
10485760,M3,0.24579056666666665,263.5545227,261.5577345,525.3580477666667,1.9957093576525178,525.5815845,524.06140025,526.165682,2.1042817499999273,524.6438923448385,526.0722031884949,0.37987604189874236,521.360468,529.080249,39.786683483099964,0.17659310981168586,2304
10485760,M4,0.42958023333333334,5.029948666666667,5.084979933333333,10.544508833333333,0.32008779171120777,10.5836735,10.445722,10.727829749999998,0.282107749999998,10.429966888117201,10.659050778549465,3.0355874964924423,9.860115,11.367187999999999,2086.8299495235433,68.86679568048531,2364
10485760,M5,0.4220487333333333,263.19393076666665,261.30800946666665,524.9239889666667,1.582830599368719,524.818608,523.8174489999999,526.0891445,2.271695500000078,524.3575803109974,525.490397622336,0.3015351998838123,522.061708,528.439365,39.840901554075785,0.13908438097795572,2368
52428800,M1,0.24040496666666666,24.3916323,24.500083333333333,49.1321206,0.5990707658712436,49.171781499999994,48.819407,49.464707,0.6452999999999989,48.91774587962041,49.34649532037959,1.2193057383955939,48.026907,50.655345,2149.8904295413363,30.886783724285646,92
52428800,M2,0.24861703333333335,24.5429032,24.678421,49.46994123333333,0.5799730575205803,49.4920745,49.107125999999994,49.902421249999996,0.7952952500000023,49.26240054011848,49.67748192654818,1.1723746644149817,48.481792,50.923739999999995,2136.6067867047823,29.525100439772192,2300
52428800,M3,0.2454391,1304.4692657333333,1302.8716955666666,2607.5864004,3.5711794211386105,2606.9841705,2604.87520975,2610.131762,5.256552249999913,2606.3084702564406,2608.8643305435594,0.13695344555374261,2602.148675,2614.341691,40.19177864176529,0.06677668529215038,2304
52428800,M4,0.4281183666666667,24.5057973,24.528716433333333,49.4626321,0.46462662581967373,49.3999785,49.15803100000001,49.85716425,0.6991332499999885,49.29636759726442,49.62889660273558,0.939348769148243,48.644436,50.512797,2139.840996504616,29.59398048475964,2364
