payload_bytes,run,mode,key_ms,encryption_ms,decryption_ms,total_ms,throughput_MBps,overhead_bytes
1024,14,M4,0.225552,0.002144,0.00144,0.229136,477.6119402985074,2364
1024,15,M1,0.137389,0.001296,0.00108,0.139765,790.1234567901234,92
1024,15,M4,0.221783,0.001904,0.018864,0.242551,537.8151260504202,2364
1024,15,M2,0.104572,0.002392,0.001752,0.10871600000000001,428.0936454849498,2300
1024,15,M3,0.09322,0.032465,0.027689,0.15337399999999998,31.541660249499458,2304
1024,15,M5,0.235832,0.029905,0.026857,0.292594,34.24176559103829,2368
1024,16,M5,0.223776,0.029409,0.026697,0.27988199999999996,34.81927301166309,2368
1024,16,M4,0.243864,0.003224,0.002024,0.249112,317.61786600496276,2364
1024,16,M1,0.137853,0.00124,0.00096,0.14005299999999998,825.8064516129032,92
1024,16,M3,0.091667,0.031937,0.027313,0.150917,32.06312427591821,2304
1024,16,M2,0.088059,0.00224,0.001536,0.091835,457.1428571428571,2300
1024,17,M3,0.086739,0.029185,0.026897,0.142821,35.08651704642796,2304
1024,17,M4,0.22692,0.002408,0.001584,0.230912,425.2491694352159,2364
1024,17,M1,0.168294,0.002272,0.001584,0.17215,450.70422535211264,92
1024,17,M5,0.243336,0.032505,0.027785,0.303626,31.502845716043684,2368
1024,17,M2,0.087947,0.002761,0.001952,0.09265999999999999,370.88011590003623,2300
1024,18,M4,0.22632,0.001904,0.001288,0.229512,537.8151260504202,2364
1024,18,M2,0.086323,0.001792,0.001344,0.089459,571.4285714285714,2300
1024,18,M1,0.140701,0.001392,0.000976,0.143069,735.6321839080459,92
1024,18,M3,0.118844,0.033025,0.027593,0.179462,31.006813020439058,2304
1024,18,M5,0.232704,0.029561,0.026977,0.289242,34.64023544535029,2368
1024,19,M1,0.139077,0.003288,0.002064,0.14442900000000003,311.4355231143552,92
1024,19,M4,0.221151,0.00172,0.001224,0.224095,595.3488372093022,2364
1024,19,M3,0.085275,0.030377,0.026897,0.142549,33.70971458669388,2304
1024,19,M2,0.119924,0.003144,0.002256,0.125324,325.6997455470738,2300
1024,19,M5,0.234424,0.032025,0.027361,0.29381,31.975019516003123,2368
1024,20,M2,0.090427,0.002688,0.001721,0.09483599999999999,380.95238095238096,2300
1024,20,M1,0.140484,0.00132,0.000985,0.142789,775.7575757575756,92
1024,20,M4,0.221087,0.001656,0.001288,0.224031,618.3574879227053,2364
1024,20,M5,0.253705,0.032329,0.027217,0.313251,31.674348108509385,2368
1024,20,M3,0.087251,0.028009,0.026545,0.14180500000000001,36.55967724659931,2304
1024,21,M3,0.086595,0.028025,0.026561,0.141181,36.53880463871543,2304
1024,21,M4,0.227008,0.003096,0.002064,0.23216799999999999,330.74935400516796,2364
1024,21,M5,0.22104,0.055762,0.028217,0.305019,18.36376026684839,2368
1024,21,M1,0.146229,0.002792,0.00192,0.150941,366.76217765042975,92
1024,21,M2,0.110484,0.001928,0.001376,0.113788,531.1203319502074,2300
1024,22,M1,0.141477,0.001352,0.00104,0.143869,757.396449704142,92
1024,22,M2,0.096036,0.002024,0.001392,0.099452,505.9288537549407,2300
1024,22,M4,0.226504,0.001816,0.001328,0.22964800000000002,563.8766519823788,2364
1024,22,M5,0.250232,0.03225,0.027256,0.309738,31.751937984496124,2368
1024,22,M3,0.090299,0.028281,0.033977,0.152557,36.20805487783317,2304
1024,23,M4,0.248408,0.00336,0.001984,0.253752,304.76190476190476,2364
1024,23,M1,0.138573,0.00124,0.001024,0.140837,825.8064516129032,92
1024,23,M3,0.089891,0.031057,0.027145,0.148093,32.971632804198734,2304
1024,23,M5,0.247128,0.030737,0.026993,0.30485799999999996,33.31489735497934,2368
1024,23,M2,0.089627,0.00288,0.00196,0.094467,355.55555555555554,2300
1024,24,M1,0.142341,0.001352,0.001016,0.14470899999999998,757.396449704142,92
1024,24,M2,0.093027,0.001416,0.001216,0.095659,723.1638418079095,2300
1024,24,M5,0.222992,0.030505,0.027089,0.28058599999999995,33.568267497131615,2368
1024,24,M4,0.245024,0.002816,0.002232,0.250072,363.6363636363636,2364
1024,24,M3,0.090483,0.031305,0.027353,0.149141,32.71042964382686,2304
1024,25,M2,0.091027,0.002096,0.001424,0.09454699999999999,488.5496183206107,2300
1024,25,M3,0.082378,0.028721,0.026745,0.137844,35.65335468820723,2304
1024,25,M1,0.142597,0.001744,0.001336,0.145677,587.1559633027523,92
1024,25,M5,0.233464,0.029985,0.026785,0.290234,34.15040853760213,2368
1024,25,M4,0.250969,0.002992,0.001936,0.255897,342.24598930481284,2364
1024,26,M5,0.224712,0.031401,0.027305,0.283418,32.61042641954078,2368
1024,26,M2,0.084603,0.002376,0.00172,0.088699,430.97643097643095,2300
1024,26,M1,0.138581,0.00128,0.001088,0.14094900000000002,800.0,92
1024,26,M3,0.090051,0.030177,0.027169,0.147397,33.933127878848126,2304
1024,26,M4,0.253041,0.002984,0.002048,0.258073,343.1635388739946,2364
1024,27,M5,0.236928,0.032089,0.027265,0.296282,31.911246844713144,2368
1024,27,M3,0.090587,0.028361,0.026841,0.145789,36.1059201015479,2304
1024,27,M2,0.087915,0.002688,0.00188,0.092483,380.95238095238096,2300
1024,27,M1,0.143357,0.00156,0.001048,0.145965,656.4102564102564,92
1024,27,M4,0.258161,0.003144,0.002256,0.26356099999999993,325.6997455470738,2364
1024,28,M2,0.092915,0.002009,0.001472,0.096396,509.7063215530114,2300
1024,28,M5,0.228287,0.032706,0.027384,0.288377,31.309239894820518,2368
1024,28,M1,0.138196,0.002272,0.001592,0.14206000000000002,450.70422535211264,92
1024,28,M4,0.220743,0.00156,0.001336,0.223639,656.4102564102564,2364
1024,28,M3,0.084363,0.029961,0.042914,0.157238,34.17776442708855,2304
1024,29,M5,0.235136,0.029977,0.027257,0.29236999999999996,34.159522300430325,2368
1024,29,M3,0.090363,0.028017,0.026729,0.145109,36.54923796266552,2304
1024,29,M4,0.2364,0.003416,0.001968,0.241784,299.76580796252927,2364
1024,29,M2,0.088635,0.0016,0.001344,0.09157900000000001,640.0,2300
1024,29,M1,0.139476,0.001544,0.001096,0.142116,663.2124352331606,92
1024,30,M2,0.118444,0.002616,0.001648,0.12270799999999998,391.43730886850153,2300
1024,30,M4,0.22868,0.001728,0.001376,0.231784,592.5925925925926,2364
1024,30,M5,0.222112,0.032921,0.027393,0.282426,31.104765954861637,2368
1024,30,M1,0.138437,0.0018,0.001456,0.141693,568.8888888888889,92
1024,30,M3,0.090827,0.029513,0.026873,0.147213,34.69657439094636,2304
10240,1,M3,0.099844,0.231088,0.228799,0.559731,44.31212352004432,2304
10240,1,M2,0.091371,0.006272,0.004472,0.102115,1632.6530612244899,2300
10240,1,M1,0.161742,0.0044,0.003792,0.16993399999999997,2327.2727272727275,92
10240,1,M5,0.22912,0.234216,0.22892,0.692256,43.72032653618882,2368
10240,1,M4,0.259025,0.00632,0.004616,0.269961,1620.2531645569622,2364
10240,2,M4,0.235032,0.004976,0.00412,0.244128,2057.8778135048233,2364
10240,2,M3,0.088371,0.234528,0.229992,0.552891,43.66216400600355,2304
10240,2,M2,0.133669,0.006408,0.004952,0.14502900000000002,1598.0024968789014,2300
10240,2,M5,0.241289,0.246904,0.230296,0.7184889999999999,41.473609176036035,2368
10240,2,M1,0.145141,0.006224,0.00448,0.155845,1645.2442159383036,92
10240,3,M2,0.144517,0.005968,0.004688,0.155173,1715.8176943699732,2300
10240,3,M4,0.236456,0.004585,0.004264,0.245305,2233.369683751363,2364
10240,3,M3,0.085107,0.23612,0.229968,0.551195,43.367779095375234,2304
10240,3,M5,0.270649,0.233976,0.23,0.734625,43.76517249632441,2368
10240,3,M1,0.144237,0.006224,0.004512,0.154973,1645.2442159383036,92
10240,4,M5,0.261897,0.235576,0.229072,0.726545,43.46792542534045,2368
10240,4,M1,0.145293,0.006177,0.004448,0.155918,1657.7626679617938,92
10240,4,M4,0.23608,0.005208,0.004104,0.245392,1966.2058371735793,2364
10240,4,M3,0.098003,0.233488,0.228872,0.5603629999999999,43.85664359624478,2304
10240,4,M2,0.097099,0.005632,0.004312,0.107043,1818.1818181818185,2300
10240,5,M2,0.098188,0.004768,0.003944,0.1069,2147.6510067114095,2300
10240,5,M4,0.256537,0.005688,0.004456,0.26668100000000006,1800.2812939521802,2364
10240,5,M1,0.142789,0.003904,0.003449,0.150142,2622.9508196721313,92
10240,5,M5,0.227167,0.235065,0.228783,0.6910149999999999,43.562418905409146,2368
10240,5,M3,0.109308,0.23116,0.227792,0.56826,44.29832150891158,2304
10240,6,M5,0.23776,0.23308,0.241368,0.7122080000000001,43.93341342028488,2368
10240,6,M3,0.09702,0.23092,0.227935,0.555875,44.34436168369999,2304
10240,6,M2,0.103252,0.00652,0.004625,0.114397,1570.5521472392638,2300
10240,6,M4,0.265385,0.005464,0.004536,0.275385,1874.084919472914,2364
10240,6,M1,0.140741,0.003832,0.003496,0.148069,2672.2338204592907,92
10240,7,M5,0.228967,0.236064,0.245265,0.710296,43.378066964890884,2368
10240,7,M1,0.149029,0.006144,0.004504,0.159677,1666.6666666666667,92
10240,7,M2,0.114347,0.004888,0.004064,0.123299,2094.9263502454996,2300
10240,7,M3,0.088043,0.235816,0.229224,0.553083,43.42368626386675,2304
10240,7,M4,0.258737,0.006032,0.004472,0.26924099999999995,1697.6127320954909,2364
10240,8,M4,0.232879,0.005016,0.014208,0.252103,2041.4673046251996,2364
10240,8,M2,0.094284,0.0048,0.004104,0.103188,2133.3333333333335,2300
10240,8,M5,0.226248,0.250832,0.229776,0.706856,40.82413727116158,2368
10240,8,M1,0.147397,0.005729,0.004408,0.157534,1787.3974515622276,92
10240,8,M3,0.101355,0.232832,0.242128,0.576315,43.980208905992306,2304
10240,9,M4,0.241768,0.006136,0.004504,0.252408,1668.83963494133,2364
10240,9,M1,0.138748,0.003848,0.003377,0.145973,2661.122661122661,92
10240,9,M2,0.097987,0.00452,0.003928,0.106435,2265.486725663717,2300
10240,9,M5,0.226376,0.251905,0.229776,0.7080569999999999,40.650245132093445,2368
10240,9,M3,0.101219,0.231184,0.227912,0.560315,44.29372274897917,2304
10240,10,M3,0.097451,0.243689,0.229352,0.570492,42.02077237790791,2304
10240,10,M2,0.110091,0.006344,0.00452,0.120955,1614.1235813366964,2300
10240,10,M1,0.146589,0.004048,0.003592,0.154229,2529.644268774704,92
10240,10,M5,0.235664,0.249801,0.229248,0.714713,40.99263013358634,2368
10240,10,M4,0.241488,0.00612,0.004633,0.252241,1673.2026143790852,2364
10240,11,M2,0.090547,0.00456,0.003896,0.099003,2245.6140350877195,2300
10240,11,M5,0.244481,0.234728,0.22904,0.708249,43.62496165774855,2368
10240,11,M1,0.142949,0.005896,0.004376,0.153221,1736.7706919945726,92
10240,11,M4,0.23108,0.005152,0.004096,0.24032799999999999,1987.577639751553,2364
10240,11,M3,0.106612,0.23672,0.228728,0.57206,43.25785738425144,2304
10240,12,M2,0.104956,0.006408,0.004544,0.115908,1598.0024968789014,2300
10240,12,M4,0.233384,0.004929,0.004176,0.242489,2077.5005072022727,2364
10240,12,M5,0.255401,0.23516,0.229159,0.71972,43.5448205477122,2368
10240,12,M1,0.146725,0.00608,0.00432,0.157125,1684.2105263157896,92
10240,12,M3,0.104228,0.247632,0.229048,0.580908,41.35168314272792,2304
10240,13,M2,0.10002,0.006232,0.004536,0.110788,1643.1322207958924,2300
10240,13,M1,0.143797,0.004097,0.003424,0.151318,2499.3897974127412,92
10240,13,M4,0.224935,0.004136,0.003664,0.232735,2475.822050290136,2364
10240,13,M5,0.245216,0.23348,0.237904,0.7166,43.858146308034954,2368
10240,13,M3,0.096836,0.230936,0.239096,0.566868,44.34128936155472,2304
10240,14,M1,0.149717,0.006064,0.004625,0.160406,1688.6543535620056,92
10240,14,M2,0.112684,0.005064,0.004144,0.121892,2022.1169036334913,2300
10240,14,M5,0.227648,0.233464,0.245336,0.706448,43.86115204057157,2368
10240,14,M3,0.097588,0.231183,0.22844,0.557211,44.293914344912906,2304
10240,14,M4,0.232248,0.005985,0.004496,0.242729,1710.9440267335006,2364
10240,15,M3,0.107748,0.232928,0.228207,0.568883,43.96208270366809,2304
10240,15,M1,0.145117,0.00576,0.004328,0.15520499999999998,1777.777777777778,92
10240,15,M5,0.22996,0.246712,0.229952,0.7066239999999999,41.50588540484452,2368
10240,15,M4,0.241992,0.006057,0.004784,0.25283300000000003,1690.6059105167576,2364
10240,15,M2,0.087827,0.004184,0.003704,0.09571500000000001,2447.4187380497133,2300
10240,16,M5,0.245672,0.234208,0.228664,0.708544,43.72181992075421,2368
10240,16,M3,0.094851,0.229872,0.24636,0.571083,44.546530242917804,2304
10240,16,M1,0.152629,0.006288,0.004568,0.16348499999999996,1628.4987277353691,92
10240,16,M4,0.243296,0.00496,0.004168,0.252424,2064.516129032258,2364
10240,16,M2,0.087971,0.004272,0.003688,0.09593099999999999,2397.0037453183522,2300
10240,17,M5,0.226511,0.252393,0.229384,0.708288,40.57164818358671,2368
10240,17,M1,0.147325,0.005832,0.004384,0.15754100000000001,1755.8299039780522,92
10240,17,M2,0.102124,0.004592,0.003896,0.110612,2229.965156794425,2300
10240,17,M4,0.243953,0.004856,0.003888,0.252697,2108.731466227348,2364
10240,17,M3,0.086419,0.248265,0.229103,0.563787,41.24624896783679,2304
10240,18,M1,0.148613,0.005624,0.004264,0.15850099999999998,1820.7681365576104,92
10240,18,M2,0.110084,0.004976,0.004072,0.119132,2057.8778135048233,2300
